1_Tps_b3v08 
Bifidobacterium animalis
Paenibacillus sp.
Propionibacterium freudenreichii
Wolbachia endosymbiont
Flavonifractor plautii
Sinorhizobium meliloti
Bacteroides thetaiotaomicron
Bacteroides dorei
Mycoplasma mycoides
Ruminococcaceae bacterium
Prevotellaceae bacterium
Blautia argi
Blautia sp.
Clostridium perfringens
TPA_asm: Siphoviridae
Bacteroides caccae
Prevotella dentalis
Staphylococcus pseudintermedius
Clostridiales bacterium
Eubacterium sp.
Enterocloster bolteae
Prevotella buccalis
Bacteroides fragilis
Phocaeicola dorei
Blautia pseudococcoides
Blautia producta
Roseburia intestinalis
Clostridium sp.
Phocaeicola vulgatus
Prevotella ruminicola
Prevotella oris
Bacteroides vulgatus
Clostridioides difficile
Clostridium scindens
Mammalian expression
Eubacterium rectale
Ruminococcus gnavus
Parabacteroides distasonis
Flavobacterium columnare
Prevotella multiformis
Prevotella veroralis
Prevotella histicola
Collinsella aerofaciens
Faecalibacterium sp.
Phocaeicola sp.
Prevotella nigrescens
Prevotella scopos
Prevotella fusca
Lachnospiraceae bacterium
Faecalibacterium prausnitzii
Bacteroides sp.
Prevotella jejuni
Prevotella sp.
Prevotella denticola
Prevotella copri
Prevotella intermedia
Prevotella melaninogenica
